Locality,Zone_Type,Footfall_Score,Demo_Score,Competitor_Gap,Rent_Index,POI_Score,Competitor_Count,Daily_Footfall,Avg_Spend_AED,Conversion_Rate,Monthly_Revenue_AED,Store_Size_Sqft,Lease_Cost_AED,ROI_Score,Peak_Hours,Weekend_Multiplier,Parking_Available,Metro_Proximity_Km,Recommended
Deira,High Street,83,63,58,51,70,1,6947,281.2,0.0554,3246711.0,2000,255000,151.79,2PM-6PM,1.24,True,2.4,1
Mirdif City Ctr,High Street,80,72,57,63,83,1,7027,308.9,0.0482,3138746.0,800,126000,297.93,2PM-6PM,1.46,True,4.0,1
Deira,Business District,75,68,49,56,71,1,5914,372.9,0.0545,3605716.0,1500,210000,205.04,2PM-6PM,1.27,True,2.4,0
Dubai Mall,Business District,92,88,23,90,92,5,7342,304.3,0.0492,3297636.0,1500,337500,116.25,10AM-2PM,1.83,True,1.94,0
Al Barsha,Mall,65,73,69,59,68,1,5034,406.7,0.0669,4108987.0,1000,147500,333.29,10AM-2PM,1.38,True,3.53,0
Downtown Dubai,Mixed Use,92,97,35,84,97,3,7414,504.8,0.0334,3750072.0,1200,252000,177.57,2PM-6PM,1.7,False,0.25,0
Dubai Marina,Mall,84,82,50,80,90,2,7261,378.2,0.0465,3830824.0,1500,300000,152.23,6PM-10PM,1.78,True,0.46,0
Al Qusais,Mixed Use,58,60,78,42,57,2,4844,449.0,0.0698,4554358.0,1500,157500,346.0,6PM-10PM,1.33,True,1.15,0
Business Bay,High Street,82,93,65,81,82,2,6143,332.2,0.0526,3220232.0,1500,303750,126.22,10AM-2PM,1.61,True,1.36,1
Silicon Oasis,Mall,58,50,83,30,56,0,4616,279.8,0.0616,2386797.0,2000,150000,189.94,2PM-6PM,1.96,True,3.49,0
Dubai Mall,Mall,100,80,34,92,98,1,7737,366.0,0.0489,4154166.0,1200,276000,179.62,6PM-10PM,1.56,True,4.49,0
Dubai Mall,High Street,100,90,34,92,94,2,8215,395.9,0.0526,5132159.0,1200,276000,222.14,2PM-6PM,1.38,True,0.24,0
Jumeirah,Mixed Use,72,82,80,82,66,0,5519,320.5,0.0803,4261134.0,1200,246000,206.86,10AM-2PM,1.93,False,0.92,1
Motor City,Business District,54,64,81,36,55,0,3949,312.2,0.0642,2374523.0,1200,108000,262.84,10AM-2PM,1.21,True,1.83,0
Silicon Oasis,High Street,57,66,88,39,62,0,4583,313.4,0.0517,2227720.0,800,78000,341.73,2PM-6PM,1.46,True,0.49,0
Karama,Mixed Use,55,54,72,47,60,2,4505,306.8,0.0704,2919067.0,800,94000,371.65,2PM-6PM,1.7,False,2.79,0
Motor City,High Street,67,71,80,50,58,0,5458,441.0,0.0575,4152037.0,2000,250000,198.3,6PM-10PM,1.98,True,0.9,0
Mirdif City Ctr,Mixed Use,77,74,53,70,79,1,6072,524.8,0.0483,4617363.0,800,140000,394.77,10AM-2PM,1.89,False,3.37,1
Dubai Marina,High Street,77,93,53,82,95,2,7633,411.5,0.0518,4881082.0,1000,205000,284.72,2PM-6PM,1.68,False,2.98,1
DIFC,High Street,76,95,72,83,91,1,6280,402.6,0.0547,4148986.0,2000,415000,118.97,2PM-6PM,1.9,True,2.37,1
Jumeirah,Mall,63,76,73,63,80,1,4892,403.6,0.0621,3678328.0,1500,236250,185.84,10AM-2PM,1.39,True,3.99,0
Downtown Dubai,High Street,90,85,39,89,86,2,7950,322.3,0.0602,4627487.0,800,178000,310.97,6PM-10PM,1.73,True,3.81,0
Al Qusais,High Street,56,60,77,45,66,0,4254,308.7,0.0646,2545001.0,1200,135000,225.22,10AM-2PM,1.27,True,2.67,0
Al Qusais,Mall,58,57,77,43,44,0,4204,501.9,0.0671,4247405.0,1000,107500,473.13,6PM-10PM,1.74,True,3.92,0
Downtown Dubai,High Street,93,96,28,91,94,3,7523,367.8,0.0444,3685590.0,800,182000,242.01,10AM-2PM,1.68,False,3.74,0
Business Bay,High Street,72,92,59,79,84,2,5629,329.7,0.0526,2928581.0,1500,296250,117.63,2PM-6PM,1.92,False,1.5,1
Karama,High Street,58,59,68,44,60,0,3919,261.4,0.0763,2344912.0,1500,165000,169.54,10AM-2PM,1.39,True,1.1,0
Deira,Mixed Use,72,71,51,58,87,0,4944,338.8,0.057,2864297.0,1000,145000,236.05,6PM-10PM,1.21,True,0.13,1
Motor City,Business District,57,59,87,39,54,2,4346,299.2,0.0707,2757986.0,1200,117000,281.87,6PM-10PM,1.66,True,3.26,0
JBR,Business District,84,77,54,79,85,2,7643,374.7,0.0584,5017434.0,1000,197500,303.86,2PM-6PM,1.84,True,0.29,1
Deira,Mall,73,71,56,61,74,1,6078,273.2,0.0642,3198141.0,800,122000,313.57,10AM-2PM,1.44,False,3.85,1
Mirdif City Ctr,High Street,76,76,55,75,76,2,6396,359.4,0.0606,4179077.0,2000,375000,132.73,6PM-10PM,1.64,True,1.82,1
Karama,Business District,61,63,60,41,69,3,4673,432.9,0.0619,3756603.0,1000,102500,438.8,10AM-2PM,1.26,True,4.03,0
DIFC,High Street,63,88,75,82,91,0,4779,337.5,0.0646,3125824.0,1000,205000,181.98,10AM-2PM,1.57,True,0.33,0
Al Qusais,Mall,62,58,87,36,63,1,4619,332.2,0.0562,2587052.0,1000,90000,343.94,10AM-2PM,1.86,True,1.42,0
Al Barsha,Mixed Use,67,64,65,63,68,1,4985,404.8,0.0618,3741239.0,1500,236250,189.03,2PM-6PM,1.25,True,1.1,0
Karama,Mixed Use,63,56,66,45,63,0,4239,273.9,0.0814,2835314.0,1200,135000,251.03,6PM-10PM,1.99,False,1.02,0
Motor City,Mall,64,53,87,45,70,0,4939,338.0,0.0616,3085018.0,1200,135000,273.22,2PM-6PM,1.38,False,2.62,0
Deira,High Street,82,68,45,67,70,2,6824,295.4,0.0282,1705375.0,800,134000,151.72,2PM-6PM,1.25,True,0.69,0
Dubai Marina,Mixed Use,86,82,53,79,79,1,7451,421.0,0.0357,3359589.0,1200,237000,169.11,6PM-10PM,1.76,False,1.15,1
DIFC,High Street,68,91,67,94,92,0,5753,276.3,0.0528,2517853.0,2000,470000,63.29,2PM-6PM,1.54,True,4.0,0
Silicon Oasis,Mall,48,66,75,48,55,1,3723,263.1,0.052,1528053.0,1000,120000,151.81,10AM-2PM,1.37,True,1.16,0
Business Bay,High Street,88,87,55,89,73,2,7037,245.0,0.0526,2720575.0,1000,222500,145.73,10AM-2PM,1.69,False,1.83,1
Deira,High Street,74,75,41,64,75,3,6998,310.7,0.0462,3013550.0,800,128000,281.52,6PM-10PM,1.61,True,3.34,0
Dubai Mall,Mixed Use,96,86,29,100,100,3,7772,202.8,0.0511,2416256.0,1500,375000,76.32,6PM-10PM,1.83,True,1.91,0
Business Bay,Business District,87,91,62,81,72,3,6798,442.9,0.0561,5067234.0,800,162000,374.35,6PM-10PM,1.23,False,3.61,1
Al Qusais,Mall,60,49,77,42,54,0,5010,461.0,0.0654,4531455.0,800,84000,646.35,6PM-10PM,1.64,True,0.82,0
Dubai Marina,Business District,82,85,51,81,81,3,6712,402.8,0.058,4704253.0,2000,405000,138.39,2PM-6PM,1.78,False,2.99,1
Bur Dubai,Mall,69,73,46,51,61,2,5677,306.0,0.0478,2491090.0,1000,127500,233.46,6PM-10PM,1.32,True,1.92,0
Business Bay,Mixed Use,83,100,60,76,83,1,7284,382.9,0.0647,5413534.0,800,152000,426.38,6PM-10PM,1.99,True,1.87,1
Deira,Mall,71,63,50,58,74,0,6152,423.1,0.0619,4833606.0,1500,217500,265.68,2PM-6PM,1.87,False,0.15,0
Jumeirah,High Street,64,82,67,67,78,1,5983,323.2,0.0561,3254427.0,2000,335000,115.58,2PM-6PM,1.76,True,2.83,0
Dubai Marina,High Street,89,84,44,86,86,2,7160,454.7,0.051,4981148.0,1500,322500,184.35,2PM-6PM,1.59,True,2.75,0
Al Qusais,Mall,57,61,83,34,59,0,3173,369.7,0.0729,2565478.0,800,68000,451.73,10AM-2PM,1.68,False,4.49,0
Al Qusais,Mall,53,50,75,37,66,0,3768,352.7,0.0655,2611433.0,1000,92500,337.78,10AM-2PM,1.76,True,2.68,0
Downtown Dubai,Mall,80,92,40,91,92,1,6303,377.7,0.0659,4706531.0,1500,341250,164.5,6PM-10PM,1.6,True,3.31,0
Downtown Dubai,Mixed Use,89,90,30,91,98,1,6643,294.8,0.0383,2250152.0,800,182000,147.36,10AM-2PM,1.59,True,0.38,0
Deira,High Street,68,73,50,51,71,3,5615,324.2,0.0719,3926566.0,800,102000,460.95,10AM-2PM,1.41,True,0.97,0
Al Barsha,Mixed Use,68,65,59,56,76,2,5144,347.8,0.0614,3295491.0,2000,280000,140.24,2PM-6PM,1.63,False,2.51,0
JBR,Mall,87,80,48,79,87,1,7844,464.6,0.0441,4821439.0,1500,296250,194.3,6PM-10PM,1.24,False,0.99,0
Mirdif City Ctr,Mall,80,75,65,68,86,2,6629,281.6,0.0753,4216935.0,800,136000,371.08,10AM-2PM,1.28,True,1.34,1
Deira,Mall,73,69,50,57,78,2,4924,301.1,0.057,2535274.0,2000,285000,105.75,10AM-2PM,1.52,False,2.45,0
Deira,Mall,84,80,35,56,66,1,6584,391.3,0.0508,3926310.0,1500,210000,223.36,10AM-2PM,1.79,False,1.48,0
Silicon Oasis,Business District,51,61,85,36,60,1,4212,329.1,0.065,2703030.0,1500,135000,239.27,2PM-6PM,1.54,True,0.16,0
Jumeirah,Mall,72,77,74,71,74,2,5255,266.1,0.065,2726793.0,800,142000,229.43,2PM-6PM,1.86,False,2.41,1
Business Bay,High Street,79,96,59,87,82,2,7291,284.0,0.0415,2577952.0,1200,261000,117.53,10AM-2PM,1.74,True,3.12,1
Al Qusais,Mixed Use,61,50,80,42,53,0,4273,284.3,0.0786,2864531.0,1500,157500,217.25,6PM-10PM,1.85,True,4.05,0
DIFC,High Street,73,98,65,90,76,2,5910,221.8,0.0705,2772422.0,1200,270000,122.22,10AM-2PM,1.54,True,4.35,1
Downtown Dubai,High Street,89,89,38,92,95,2,6856,404.5,0.058,4825458.0,2000,460000,124.88,10AM-2PM,1.39,True,2.16,0
Jumeirah,Business District,68,75,68,70,69,1,6059,263.6,0.0615,2946746.0,1200,210000,167.39,2PM-6PM,1.66,True,1.21,0
Business Bay,Business District,73,83,59,89,82,2,6340,357.8,0.0307,2089244.0,1500,333750,74.12,2PM-6PM,1.82,True,4.03,1
Karama,Mall,69,58,75,50,58,1,5072,296.2,0.0532,2397713.0,800,100000,286.73,10AM-2PM,1.58,True,0.72,0
Al Qusais,Mall,57,42,70,49,52,0,3835,162.6,0.0858,1605072.0,2000,245000,77.62,2PM-6PM,1.24,False,3.81,0
Dubai Mall,Mixed Use,100,87,32,100,99,2,7610,338.8,0.0477,3689502.0,1200,300000,146.58,6PM-10PM,1.9,True,3.19,0
DIFC,Mall,73,98,69,88,79,2,6014,393.2,0.0489,3469022.0,2000,440000,93.61,10AM-2PM,1.77,False,3.27,1
Jumeirah,Business District,62,80,80,74,73,0,3884,290.5,0.0568,1922627.0,1500,277500,82.14,2PM-6PM,1.46,False,1.92,0
Karama,High Street,57,54,75,44,60,1,4676,365.7,0.072,3693629.0,1500,165000,267.63,10AM-2PM,1.92,True,2.45,0
Al Barsha,High Street,72,76,52,67,67,3,5672,294.7,0.0407,2040948.0,1500,251250,96.48,6PM-10PM,1.63,False,2.7,1
Al Qusais,High Street,56,57,80,28,51,1,5065,215.5,0.0799,2616343.0,800,56000,559.64,2PM-6PM,1.33,True,0.73,0
Al Barsha,Mall,71,61,71,57,63,1,5733,341.3,0.0733,4302724.0,800,114000,451.92,10AM-2PM,1.31,True,0.22,1
Bur Dubai,High Street,79,62,50,49,69,1,6688,320.7,0.0389,2503030.0,2000,245000,121.6,2PM-6PM,1.3,False,1.73,0
Al Qusais,High Street,61,53,83,39,54,0,4094,349.3,0.0536,2299495.0,800,78000,352.77,10AM-2PM,1.81,False,2.04,0
Deira,High Street,78,72,49,55,65,3,6613,270.7,0.0564,3028915.0,800,110000,329.43,10AM-2PM,1.56,True,2.25,0
DIFC,Mall,75,99,64,83,84,2,5653,445.6,0.0637,4813765.0,1200,249000,230.99,6PM-10PM,1.93,False,2.45,1
Al Qusais,High Street,61,51,78,36,64,0,5206,321.9,0.0656,3297997.0,1000,90000,438.73,6PM-10PM,1.36,False,1.8,0
Bur Dubai,Mall,72,71,52,51,59,2,6518,234.1,0.0726,3323331.0,800,102000,389.98,10AM-2PM,1.55,False,4.03,1
DIFC,Mall,78,89,65,93,80,2,6470,485.6,0.0703,6626124.0,800,186000,426.49,2PM-6PM,1.97,True,4.49,1
Al Barsha,Mall,76,64,65,60,64,2,6849,350.0,0.0525,3775511.0,1200,180000,250.7,6PM-10PM,1.71,True,3.17,1
Karama,Mixed Use,56,60,71,42,58,1,4481,415.3,0.0595,3321812.0,1000,105000,378.64,6PM-10PM,1.37,False,1.87,0
Mirdif City Ctr,Mixed Use,79,78,58,68,74,0,6359,334.4,0.0576,3674505.0,800,136000,323.22,6PM-10PM,1.91,True,2.08,1
Deira,Mall,84,71,51,57,83,1,6611,242.9,0.0445,2143759.0,1500,213750,119.35,6PM-10PM,1.78,True,0.8,1
JBR,High Street,89,80,51,80,94,2,6690,282.0,0.0666,3769387.0,1200,240000,187.47,2PM-6PM,1.45,False,4.02,1
Karama,Mixed Use,58,50,62,45,62,2,4695,364.3,0.0632,3242897.0,2000,225000,171.95,10AM-2PM,1.35,True,0.67,0
Dubai Marina,High Street,79,92,51,80,85,0,6523,362.0,0.0541,3832432.0,1000,200000,228.95,6PM-10PM,1.5,True,3.48,1
JBR,Mall,88,74,61,75,97,2,7354,362.7,0.0698,5585317.0,2000,375000,177.73,10AM-2PM,1.31,True,3.35,1
Al Qusais,Mall,56,64,73,38,55,0,4737,312.6,0.0678,3011919.0,1000,95000,379.45,10AM-2PM,1.93,False,3.22,0
Silicon Oasis,Mall,55,58,71,38,45,1,4407,321.8,0.0667,2837763.0,1500,142500,237.97,10AM-2PM,1.45,False,3.5,0
Al Barsha,Mall,66,72,57,53,66,1,4676,260.3,0.0443,1617609.0,800,106000,182.13,6PM-10PM,1.73,True,3.97,0
DIFC,High Street,75,98,73,78,80,0,5910,334.7,0.0545,3234156.0,1500,292500,131.68,6PM-10PM,1.74,True,4.46,1
Mirdif City Ctr,Business District,82,75,58,61,78,2,6729,304.1,0.0475,2915962.0,1200,183000,190.21,6PM-10PM,1.33,True,3.66,1
Motor City,Business District,67,63,82,44,61,2,5435,311.2,0.0562,2851653.0,800,88000,387.86,6PM-10PM,1.81,True,4.28,0
Silicon Oasis,Mall,54,58,84,41,46,0,3608,418.4,0.0625,2830476.0,800,82000,413.22,6PM-10PM,1.6,True,4.29,0
Silicon Oasis,Mixed Use,57,52,87,45,51,0,4229,333.0,0.0704,2974239.0,2000,225000,157.63,2PM-6PM,1.77,True,2.92,0
Mirdif City Ctr,Mall,82,77,65,66,79,1,7243,417.8,0.0618,5610436.0,1200,198000,339.03,6PM-10PM,1.22,True,3.01,1
Deira,Mall,71,87,37,66,70,1,5343,344.5,0.0589,3252452.0,2000,330000,117.27,10AM-2PM,1.49,True,1.16,0
Deira,Mall,73,73,39,58,80,3,4873,306.8,0.0686,3076785.0,2000,290000,126.32,6PM-10PM,1.92,False,1.86,0
Silicon Oasis,High Street,52,59,92,27,57,0,4341,252.1,0.0765,2511570.0,1500,101250,296.67,6PM-10PM,1.26,False,2.33,0
DIFC,Mall,68,100,70,96,81,2,5624,357.1,0.0592,3566795.0,800,192000,221.92,10AM-2PM,1.25,True,3.28,0
Al Barsha,Mixed Use,58,68,59,54,64,3,5050,407.4,0.0552,3407005.0,1000,135000,301.84,10AM-2PM,1.77,False,0.9,0
Silicon Oasis,High Street,48,57,86,42,56,0,4588,263.3,0.0608,2203429.0,1000,105000,250.82,10AM-2PM,1.68,True,3.24,0
Business Bay,Mixed Use,82,95,59,80,82,1,6784,353.1,0.0542,3894970.0,1200,240000,193.75,6PM-10PM,1.76,False,3.89,1
Dubai Mall,Mall,93,87,25,97,99,1,7085,322.7,0.0663,4547509.0,1000,242500,224.03,2PM-6PM,1.21,False,0.65,0
Silicon Oasis,High Street,57,52,83,39,60,0,4584,351.6,0.065,3142882.0,1200,117000,321.35,10AM-2PM,1.97,False,4.29,0
Bur Dubai,Mixed Use,74,69,55,57,74,2,5528,301.5,0.0565,2825043.0,1000,142500,236.9,6PM-10PM,1.7,True,0.82,1
Dubai Mall,Mall,94,81,32,89,91,4,8076,253.5,0.0433,2659399.0,1200,267000,118.52,2PM-6PM,1.55,True,1.56,0
JBR,Business District,85,78,52,81,93,2,7012,382.1,0.0539,4332404.0,1000,202500,255.74,10AM-2PM,1.98,True,0.94,1
Dubai Marina,High Street,84,77,45,74,84,1,5995,336.6,0.0443,2681812.0,1000,185000,172.96,2PM-6PM,1.68,True,0.43,0
Downtown Dubai,Mixed Use,89,88,32,100,94,4,7807,297.8,0.0592,4129066.0,800,200000,246.74,2PM-6PM,1.45,True,2.73,0
Karama,High Street,51,70,63,37,67,1,3829,344.5,0.0651,2576184.0,800,74000,416.76,10AM-2PM,1.38,False,2.82,0
Downtown Dubai,High Street,89,91,36,90,93,4,6901,402.4,0.0347,2890818.0,800,180000,191.72,2PM-6PM,1.77,True,0.98,0
Mirdif City Ctr,Mixed Use,86,74,58,63,85,3,6694,254.8,0.0734,3755800.0,1000,157500,285.16,6PM-10PM,1.86,False,2.49,1
Silicon Oasis,Mall,56,47,89,31,51,0,4181,297.2,0.0774,2885301.0,1000,77500,445.76,2PM-6PM,1.54,True,2.96,0
Business Bay,High Street,88,86,64,92,80,3,7253,271.3,0.0426,2514770.0,1200,276000,108.34,6PM-10PM,1.42,False,0.15,1
Jumeirah,High Street,61,77,74,64,75,0,4532,351.5,0.0655,3130241.0,1500,240000,155.51,2PM-6PM,1.63,True,1.66,0
Dubai Marina,Mall,79,87,50,85,85,1,6936,383.7,0.0409,3265468.0,800,170000,229.5,10AM-2PM,1.51,True,2.31,0
Downtown Dubai,Mall,97,92,33,96,82,2,6599,290.3,0.0392,2252851.0,2000,480000,55.32,10AM-2PM,1.77,False,2.37,0
Downtown Dubai,Mall,97,81,37,99,91,2,8676,411.9,0.0486,5210374.0,1200,297000,209.52,6PM-10PM,1.39,True,1.58,0
Silicon Oasis,High Street,55,62,74,42,64,1,4942,189.8,0.0728,2048574.0,1200,126000,194.1,10AM-2PM,1.71,True,0.61,0
Dubai Mall,High Street,88,93,29,96,97,4,7056,293.4,0.0562,3490408.0,1000,240000,173.52,10AM-2PM,1.82,True,3.87,0
Bur Dubai,Mall,87,62,57,54,71,2,7146,435.1,0.061,5689881.0,1200,162000,420.47,6PM-10PM,1.56,True,3.86,1
Karama,High Street,68,58,67,53,54,2,5396,246.1,0.0667,2657239.0,1500,198750,159.44,10AM-2PM,1.56,True,4.45,0
Dubai Marina,Mall,79,83,43,74,87,4,7200,309.3,0.0501,3347121.0,1200,222000,179.93,2PM-6PM,1.73,True,0.12,0
